#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.052325563190e-05      -1.317958260949e-03      -9.889825949006e-04      -9.889826276347e-04      -1.317937920551e-03      -9.890788433945e-04       4.737897265436e-01       4.736444072243e-01 
       1.324799392981e-05      -2.088186630610e-03      -1.567430648175e-03      -1.567430730395e-03      -2.088135550987e-03      -1.567583029330e-03       4.737892571135e-01       4.736440021936e-01 
       1.667823621353e-05      -3.307954079637e-03      -2.484206867886e-03      -2.484207074398e-03      -3.307825824673e-03      -2.484447967863e-03       4.737884278461e-01       4.736432749988e-01 
       2.099665539312e-05      -5.238740559860e-03      -3.937194344049e-03      -3.937194862726e-03      -5.238418599754e-03      -3.937575437885e-03       4.737871220690e-01       4.736421308974e-01 
       2.643322303708e-05      -8.292773134628e-03      -6.240012478576e-03      -6.240013781179e-03      -8.291965219119e-03      -6.240613902399e-03       4.737850975372e-01       4.736403622862e-01 
       3.327745619701e-05      -1.311789816389e-02      -9.889702580434e-03      -9.889705851521e-03      -1.311587196494e-02      -9.890649329856e-03       4.737818710537e-01       4.736375407591e-01 
       4.189383524628e-05      -2.072715935922e-02      -1.567399564846e-02      -1.567400386129e-02      -2.072208251740e-02      -1.567548000224e-02       4.737767827439e-01       4.736330924999e-01 
       5.274121378906e-05      -3.269188628753e-02      -2.484129075124e-02      -2.484131136600e-02      -3.267918445165e-02      -2.484360290862e-02       4.737687224929e-01       4.736260423222e-01 
       6.639725428791e-05      -5.141742810552e-02      -3.936999372725e-02      -3.937004544887e-02      -5.138572353497e-02      -3.937355745849e-02       4.737559708405e-01       4.736148806606e-01 
       8.358919069641e-05      -8.050615778420e-02      -6.239523195102e-02      -6.239536163352e-02      -8.042731278884e-02      -6.240062948604e-02       4.737358294140e-01       4.735972321626e-01 
       1.052325563190e-04      -1.251550828790e-01      -9.888475741956e-02      -9.888508222768e-02      -1.249601569236e-01      -9.889269260618e-02       4.737040610316e-01       4.735693476152e-01 
       1.324799392981e-04      -1.923712566272e-01      -1.567092061545e-01      -1.567100183230e-01      -1.918938366061e-01      -1.567202665984e-01       4.736540847336e-01       4.735253611055e-01 
       1.667823621353e-04      -2.903911623722e-01      -2.483359297695e-01      -2.483379551577e-01      -2.892392222813e-01      -2.483498051867e-01       4.735758005499e-01       4.734561658470e-01 
       2.099665539312e-04      -4.258856965633e-01      -3.935076057519e-01      -3.935126356723e-01      -4.231721222338e-01      -3.935210039916e-01       4.734539757103e-01       4.733477766761e-01 
       2.643322303708e-04      -5.963646892170e-01      -6.234731868186e-01      -6.234855970096e-01      -5.902155052484e-01      -6.234750141553e-01       4.732662686462e-01       4.731791029712e-01 
       3.327745619701e-04      -7.751371512739e-01      -9.876593939733e-01      -9.876897030515e-01      -7.620595962475e-01      -9.876212924590e-01       4.729812520361e-01       4.729192109882e-01 
       4.189383524628e-04      -8.933739285994e-01      -1.564165615193e+00      -1.564238488636e+00      -8.683662693887e-01      -1.564028030824e+00       4.725572447766e-01       4.725245812192e-01 
       5.274121378906e-04      -8.510084857606e-01      -2.476222577270e+00      -2.476393676544e+00      -8.113136896016e-01      -2.475887116197e+00       4.719426501447e-01       4.719374436706e-01 
       6.639725428791e-04      -6.251119674476e-01      -3.917907417378e+00      -3.918295308728e+00      -5.812361919402e-01      -3.917266980280e+00       4.710757402081e-01       4.710860240496e-01 
       8.358919069641e-04      -4.339171366410e-01      -6.194141472907e+00      -6.194978129475e+00      -4.164744978238e-01      -6.193161886234e+00       4.698750300636e-01       4.698835767454e-01 
       1.052325563190e-03      -4.664113927566e-01      -9.782521901503e+00      -9.784209672514e+00      -4.831408510522e-01      -9.781225878998e+00       4.682134182710e-01       4.682150212459e-01 
       1.324799392981e-03      -3.313724482982e-01      -1.542799305756e+01      -1.543112593087e+01      -3.214317622803e-01      -1.542622480467e+01       4.659072044054e-01       4.659097895001e-01 
       1.667823621353e-03      -2.825524831470e-01      -2.428563525795e+01      -2.429094800413e+01      -2.638295609874e-01      -2.428310378452e+01       4.627391212315e-01       4.627401344729e-01 
       2.099665539312e-03      -1.177714118817e-01      -3.813400424561e+01      -3.814243469412e+01      -1.227464131468e-01      -3.813001262476e+01       4.584528150399e-01       4.584540004145e-01 
       2.643322303708e-03      -1.112932769602e-01      -5.968457940570e+01      -5.969816648789e+01      -9.048317652172e-02      -5.967863893363e+01       4.527347907391e-01       4.527352961236e-01 
       3.327745619701e-03      -4.792100901740e-02      -9.302241426410e+01      -9.304619559138e+01      -6.423261155635e-02      -9.301532703344e+01       4.452231580566e-01       4.452235790785e-01 
       4.189383524628e-03       2.499980147147e-02      -1.442143604641e+02      -1.442571272732e+02      -2.802437613074e-01      -1.442083638913e+02       4.355245157804e-01       4.355247980726e-01 
       5.274121378906e-03       1.853397024868e-01      -2.220954192333e+02      -2.221747009438e+02       1.890934215896e-01      -2.220974295987e+02       4.232189807165e-01       4.232189807165e-01 
       6.639725428791e-03       1.786757454864e-01      -3.392034781399e+02      -3.393587739966e+02       1.822934443934e-01      -3.392355011486e+02       4.078706467302e-01       4.078706467302e-01 
       8.358919069642e-03       1.704382662203e-01      -5.127455157147e+02      -5.130625994002e+02       1.738891619479e-01      -5.128635602101e+02       3.890654951528e-01       3.890654951528e-01 
       1.052325563190e-02       1.604871358793e-01      -7.650885668864e+02      -7.657585909951e+02       1.637367455876e-01      -7.654311891845e+02       3.663758590170e-01       3.663758590170e-01 
       1.324799392981e-02       1.486290996665e-01      -1.122923052015e+03      -1.124366169828e+03       1.516393636003e-01      -1.123814603918e+03       3.394026696033e-01       3.394026696033e-01 
       1.667823621350e-02       1.348421717056e-01      -1.613222227086e+03      -1.616332485012e+03       1.375723699978e-01      -1.615379810547e+03       3.078188151324e-01       3.078188151324e-01 
       2.099665522924e-02       1.189835859255e-01      -2.254445672302e+03      -2.260986639759e+03       1.213928593608e-01      -2.259316103835e+03       2.716423452127e-01       2.716423452127e-01 
       2.643309762253e-02       1.014794951784e-01      -3.044293532023e+03      -3.057281050029e+03       1.035345445367e-01      -3.054382998596e+03       2.317117477552e-01       2.317117477552e-01 
       3.326002164681e-02       8.349701938184e-02      -3.960750442382e+03      -3.983920401465e+03       8.518797240398e-02      -3.979180315619e+03       1.906642307722e-01       1.906642307722e-01 
       4.131136503880e-02       6.790132886046e-02      -4.965376000360e+03      -4.999338201590e+03       6.927653104155e-02      -4.992636030002e+03       1.550641724602e-01       1.550641724602e-01 
       4.811205511203e-02       5.883050622288e-02      -5.835239546662e+03      -5.873641268565e+03       6.002180922614e-02      -5.865998417696e+03       1.343243568320e-01       1.343243568320e-01 
       5.304187293299e-02       5.399703799123e-02      -6.513726429503e+03      -6.551985000970e+03       5.509051468311e-02      -6.544165826423e+03       1.232926638635e-01       1.232926638635e-01 
       5.710516837262e-02       5.078388684736e-02      -7.104399008707e+03      -7.140898373320e+03       5.181222274285e-02      -7.133178366600e+03       1.159452313094e-01       1.159452313094e-01 
       6.073214339058e-02       4.830447909669e-02      -7.646019537769e+03      -7.680358251095e+03       4.928246472456e-02      -7.672813813896e+03       1.102651014611e-01       1.102651014611e-01 
       6.411438371846e-02       4.617669045945e-02      -8.151491794911e+03      -8.183940982368e+03       4.711180916913e-02      -8.176540777679e+03       1.054336643888e-01       1.054336643888e-01 
       6.735321235387e-02       4.426260547355e-02      -8.623408016345e+03      -8.654697362997e+03       4.515876771234e-02      -8.647338412377e+03       1.010384010711e-01       1.010384010711e-01 
       7.050934857655e-02       4.243195074027e-02      -9.061298405121e+03      -9.092490365470e+03       4.329106916720e-02      -9.085018389072e+03       9.686191314298e-02       9.686191314298e-02 
       7.362265950294e-02       4.064103415057e-02      -9.463103295922e+03      -9.495485909646e+03       4.146394984662e-02      -9.487712359556e+03       9.278101995640e-02       9.278101995640e-02 
       7.672123246677e-02       3.886269886825e-02      -9.827264726366e+03      -9.862238640283e+03       3.964972231473e-02      -9.853958017696e+03       8.873607225896e-02       8.873607225896e-02 
       7.982601678305e-02       3.709588856266e-02      -1.015357140981e+04      -1.019252718608e+04       3.784718542121e-02      -1.018353561285e+04       8.470914601477e-02       8.470914601477e-02 
       8.295340207349e-02       3.535286643777e-02      -1.044405666304e+04      -1.048824132095e+04       3.606873230338e-02      -1.047835651280e+04       8.071335529078e-02       8.071335529078e-02 
       8.611674556119e-02       3.363223789741e-02      -1.070411181335e+04      -1.075449003215e+04       3.431328144067e-02      -1.074357177142e+04       7.678813252523e-02       7.678813252523e-02 
       8.932732459090e-02       3.196712899749e-02      -1.094167030022e+04      -1.099879347758e+04       3.261442160877e-02      -1.098676311041e+04       7.298300501459e-02       7.298300501459e-02 
       9.259495614080e-02       3.037524233172e-02      -1.116780464463e+04      -1.123170316297e+04       3.099035392325e-02      -1.121855933436e+04       6.935584420935e-02       6.935584420935e-02 
       9.592841391889e-02       2.888918805918e-02      -1.139600343558e+04      -1.146611724032e+04       2.947421068856e-02      -1.145194591856e+04       6.596375866646e-02       6.596375866646e-02 
       9.933571732101e-02       2.752968099181e-02      -1.164109698011e+04      -1.171626624793e+04       2.808713632605e-02      -1.170124177461e+04       6.285527368364e-02       6.285527368364e-02 
       1.028243363784e-01       2.630547904510e-02      -1.191746785631e+04      -1.199600296851e+04       2.683815850115e-02      -1.198037737316e+04       6.006193237855e-02       6.006193237855e-02 
       1.064013399121e-01       2.522396976380e-02      -1.223776855132e+04      -1.231760108033e+04       2.573477602141e-02      -1.230168124724e+04       5.759581238707e-02       5.759581238707e-02 
       1.100735042425e-01       2.428178558336e-02      -1.260913005342e+04      -1.268805765039e+04       2.477346147862e-02      -1.267216907938e+04       5.543780239959e-02       5.543780239959e-02 
       1.138473938417e-01       2.345050102476e-02      -1.303295851130e+04      -1.310895595908e+04       2.392539689780e-02      -1.309339635802e+04       5.354596633318e-02       5.354596633318e-02 
       1.177294216180e-01       2.271201296679e-02      -1.350245923313e+04      -1.357402721115e+04       2.317190899478e-02      -1.355901498324e+04       5.185358075653e-02       5.185358075653e-02 
       1.217258941606e-01       2.202357791177e-02      -1.400199792583e+04      -1.406849475803e+04       2.246948933608e-02      -1.405412030637e+04       5.027572616152e-02       5.027572616152e-02 
       1.258430457492e-01       2.134329137892e-02      -1.450907708993e+04      -1.457096246307e+04       2.177543853329e-02      -1.455715252465e+04       4.872351623958e-02       4.872351623958e-02 
       1.300870639234e-01       2.063666172996e-02      -1.499642842100e+04      -1.505534693224e+04       2.105453570000e-02      -1.504185305868e+04       4.711440925724e-02       4.711440925724e-02 
       1.344641087430e-01       1.988126769548e-02      -1.543720953386e+04      -1.549584629045e+04       2.028383279329e-02      -1.548226704457e+04       4.538814467208e-02       4.538814467208e-02 
       1.389803274205e-01       1.906209289075e-02      -1.581173212778e+04      -1.587341331751e+04       1.944809213296e-02      -1.585925392387e+04       4.352078529410e-02       4.352078529410e-02 
       1.436418657176e-01       1.819178666113e-02      -1.611234303526e+04      -1.618040662638e+04       1.856011234463e-02      -1.616517272702e+04       4.152779825676e-02       4.152779825676e-02 
       1.484548772963e-01       1.728570938820e-02      -1.634938684861e+04      -1.642641749380e+04       1.763574656271e-02      -1.640972815109e+04       3.946690561108e-02       3.946690561108e-02 
       1.534255320955e-01       1.639089928167e-02      -1.655032952266e+04      -1.663743156836e+04       1.672280289269e-02      -1.661912663391e+04       3.742256505132e-02       3.742256505132e-02 
       1.585600247177e-01       1.554401156687e-02      -1.675772183056e+04      -1.685404225079e+04       1.585878549999e-02      -1.683425169722e+04       3.549171926646e-02       3.549171926646e-02 
       1.638645837646e-01       1.478508511098e-02      -1.701853976473e+04      -1.712125539395e+04       1.508446986992e-02      -1.710039999404e+04       3.375644487159e-02       3.375644487159e-02 
       1.693454830262e-01       1.413076487531e-02      -1.737190610784e+04      -1.747678186698e+04       1.441690461386e-02      -1.745548920120e+04       3.226305001222e-02       3.226305001222e-02 
       1.750090554098e-01       1.357988601146e-02      -1.783357037633e+04      -1.793609991185e+04       1.385486173198e-02      -1.791503488712e+04       3.100396568745e-02       3.100396568745e-02 
       1.808617104803e-01       1.310548958654e-02      -1.838826126654e+04      -1.848506163471e+04       1.337085937884e-02      -1.846471997021e+04       2.992058557367e-02       2.992058557367e-02 
