#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.324799392981e-04      -2.505698151655e-03      -1.880515359595e-03      -1.880525864055e-03      -2.505501003676e-03      -1.898293878638e-03       6.120992888222e-01       5.968234807630e-01 
       1.667823621353e-04      -3.969622462793e-03      -2.980335385496e-03      -2.980361771019e-03      -3.969127478478e-03      -3.008473934081e-03       6.120691879164e-01       5.968033978371e-01 
       2.099665539312e-04      -6.287306314498e-03      -4.723310813228e-03      -4.723377089697e-03      -6.286063877962e-03      -4.767810746403e-03       6.120214939057e-01       5.967715738192e-01 
       2.643322303708e-04      -9.954364309464e-03      -7.485434713849e-03      -7.485601187424e-03      -9.951247065711e-03      -7.555719788901e-03       6.119459394139e-01       5.967211482535e-01 
       3.327745619701e-04      -1.575064982717e-02      -1.186233777901e-02      -1.186275592522e-02      -1.574283402514e-02      -1.197312375996e-02       6.118262852129e-01       5.966412613532e-01 
       4.189383524628e-04      -2.489802323841e-02      -1.879733292136e-02      -1.879838318231e-02      -2.487844789224e-02      -1.897139247790e-02       6.116368751355e-01       5.965147294013e-01 
       5.274121378906e-04      -3.929772481926e-02      -2.978371934468e-02      -2.978635716962e-02      -3.924878032292e-02      -3.005577087494e-02       6.113372536640e-01       5.963143889078e-01 
       6.639725428791e-04      -6.187519520507e-02      -4.718382868907e-02      -4.719045342226e-02      -6.175314967157e-02      -4.760547913537e-02       6.108638240353e-01       5.959973720982e-01 
       8.358919069641e-04      -9.704947440582e-02      -7.473072248255e-02      -7.474735823313e-02      -9.674645673524e-02      -7.537530759679e-02       6.101170818989e-01       5.954961897141e-01 
       1.052325563190e-03      -1.512903210766e-01      -1.183134801452e-01      -1.183552478684e-01      -1.505431283664e-01      -1.192765011918e-01       6.089425350958e-01       5.947050137896e-01 
       1.324799392981e-03      -2.335585251636e-01      -1.871974067277e-01      -1.873022479392e-01      -2.317361683650e-01      -1.885801598022e-01       6.071032434513e-01       5.934589438279e-01 
       1.667823621353e-03      -3.549884316465e-01      -2.958937239468e-01      -2.961574725581e-01      -3.506314178087e-01      -2.977393944317e-01       6.042344732123e-01       5.914960016049e-01 
       2.099665539312e-03      -5.262484003672e-01      -4.669905528168e-01      -4.676525864861e-01      -5.161144168651e-01      -4.691005975160e-01       5.998250089330e-01       5.884359225550e-01 
       2.643322303708e-03      -7.493074680397e-01      -7.352780888030e-01      -7.369368710794e-01      -7.268035773992e-01      -7.367768875918e-01       5.931602500559e-01       5.837085757144e-01 
       3.327745619701e-03      -9.989538307445e-01      -1.153502689562e+00      -1.157650962900e+00      -9.527719102471e-01      -1.151978366168e+00       5.833468909287e-01       5.765098699883e-01 
       4.189383524628e-03      -1.193901669890e+00      -1.799763178913e+00      -1.810109578305e+00      -1.111514338429e+00      -1.790079990474e+00       5.694631560683e-01       5.657976648811e-01 
       5.274121378906e-03      -1.185193401772e+00      -2.785777680514e+00      -2.811481148159e+00      -1.073819597166e+00      -2.760099480076e+00       5.509294732808e-01       5.504217846140e-01 
       6.639725428791e-03      -8.584872904047e-01      -4.263842762903e+00      -4.327318055165e+00      -7.906702615148e-01      -4.218407442896e+00       5.280129201801e-01       5.295211538988e-01 
       8.358919069642e-03      -4.433685303273e-01      -6.428423299830e+00      -6.583779408178e+00      -5.390686762069e-01      -6.387052614946e+00       5.017946278914e-01       5.031692173756e-01 
       1.052325563190e-02      -5.513567993137e-01      -9.504330464347e+00      -9.879585776148e+00      -6.770911143236e-01      -9.559598027181e+00       4.725447418908e-01       4.725051558619e-01 
       1.324799392981e-02      -8.175881061482e-01      -1.369915445917e+01      -1.458815556927e+01      -6.297717199405e-01      -1.406120918153e+01       4.381114623684e-01       4.378995620997e-01 
       1.667823621350e-02      -3.319102017294e-01      -1.907379949621e+01      -2.111949236545e+01      -4.794501275439e-01      -2.022354969190e+01       3.971896119654e-01       3.973462360597e-01 
       2.099665522924e-02      -6.208790628557e-01      -2.531992191617e+01      -2.982110787846e+01      -4.438995222891e-01      -2.831404375348e+01       3.506737084204e-01       3.506195689950e-01 
       2.643309762253e-02      -3.503725147152e-01      -3.159846833036e+01      -4.082953274722e+01      -4.484359398748e-01      -3.829581127477e+01       2.991523930984e-01       2.991552369864e-01 
       3.326002164681e-02      -4.183976135383e-01      -3.707316044777e+01      -5.397093307132e+01      -3.646177657519e-01      -4.991423366554e+01       2.462151648404e-01       2.462363661648e-01 
       4.131136503880e-02      -1.759139215882e-01      -4.301188022483e+01      -6.838307034537e+01      -2.711477852541e-01      -6.264100805395e+01       2.002575023019e-01       2.002626774022e-01 
       4.811205511203e-02      -2.853635767512e-01      -5.098744336414e+01      -8.027479380733e+01      -2.478036533109e-01      -7.360905040970e+01       1.734797258422e-01       1.734813343650e-01 
       5.304187293299e-02      -2.050784055825e-01      -5.942801603441e+01      -8.909523348121e+01      -2.047378887939e-01      -8.211992896945e+01       1.592172671140e-01       1.592172671140e-01 
       5.710516837262e-02      -1.934774111529e-01      -6.783786571745e+01      -9.655615323210e+01      -1.931544216721e-01      -8.951071241121e+01       1.497251454836e-01       1.497251454836e-01 
       6.073214339058e-02      -1.844749683527e-01      -7.595682063746e+01      -1.033167590919e+02      -1.841656469357e-01      -9.628255346118e+01       1.423884834202e-01       1.423884834202e-01 
       6.411438371846e-02      -1.767250651412e-01      -8.352536483671e+01      -1.096269708418e+02      -1.764277898717e-01      -1.026018425614e+02       1.361458203171e-01       1.361458203171e-01 
       6.735321235387e-02      -1.695669788442e-01      -9.029300363229e+01      -1.155846668393e+02      -1.692811953968e-01      -1.085114206102e+02       1.304715166129e-01       1.304715166129e-01 
       7.050934857655e-02      -1.626477949288e-01      -9.603586256183e+01      -1.212227936845e+02      -1.623734915434e-01      -1.140047789473e+02       1.250789386566e-01       1.250789386566e-01 
       7.362265950294e-02      -1.557829896814e-01      -1.005795746374e+02      -1.265462411451e+02      -1.555204057356e-01      -1.190597847045e+02       1.198105055095e-01       1.198105055095e-01 
       7.672123246677e-02      -1.488941183010e-01      -1.038204787060e+02      -1.315514472185e+02      -1.486435579117e-01      -1.236579656886e+02       1.145888877257e-01       1.145888877257e-01 
       7.982601678305e-02      -1.419762346088e-01      -1.057462722919e+02      -1.362388584148e+02      -1.417379353390e-01      -1.277978439488e+02       1.093919141919e-01       1.093919141919e-01 
       8.295340207349e-02      -1.350777038947e-01      -1.064535236970e+02      -1.406219647358e+02      -1.348517412670e-01      -1.315049844307e+02       1.042374326218e-01       1.042374326218e-01 
       8.611674556119e-02      -1.282846047343e-01      -1.061582135459e+02      -1.447338354980e+02      -1.280708263439e-01      -1.348389451966e+02       9.917208195280e-02       9.917208195280e-02 
       8.932732459090e-02      -1.217064798464e-01      -1.051962348716e+02      -1.486310938550e+02      -1.215044679570e-01      -1.378966175906e+02       9.426136212509e-02       9.426136212509e-02 
       9.259495614080e-02      -1.154621564759e-01      -1.040104389028e+02      -1.523950050141e+02      -1.152712200738e-01      -1.408111775432e+02       8.957991475176e-02       8.957991475176e-02 
       9.592841391889e-02      -1.096648051548e-01      -1.031201589563e+02      -1.561285520970e+02      -1.094840034499e-01      -1.437451128955e+02       8.520127266865e-02       8.520127266865e-02 
       9.933571732101e-02      -1.044073367257e-01      -1.030738916392e+02      -1.599494185342e+02      -1.042355331054e-01      -1.468773619636e+02       8.118779669825e-02       8.118779669825e-02 
       1.028243363784e-01      -9.974835561646e-02      -1.043834853045e+02      -1.639782748022e+02      -9.958430017248e-02      -1.503838211654e+02       7.758096077893e-02       7.758096077893e-02 
